Date,Open,High,Low,Close,Volume,Change_%,Trend,Range,Range_%,Gap,Gap_%,RSI_14,MACD,MACD_Signal,MACD_Hist,ROC_10,ATR_14,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_%B,Volatility_20,OBV,Volume_MA20,Volume_Ratio,VWAP_Cumulative,Lag_1,Lag_2,Lag_3,Lag_5,Return_1,Return_3,Return_5,Rolling_High_10,Rolling_Low_10,Rolling_High_20,Rolling_Low_20,Pct_From_High_20,Pct_From_Low_20
27-01-2025,22940.15039,23007.44922,22786.90039,22829.15039,257400,-1.1391,Negative,220.55,0.97,-152.05,-0.66,33.7672,-258.0132,-237.2212,-20.792,-1.1124,266.02,23409.68,24087.59,22731.78,0.0579,0.0718,13.6429,71745000,269835,0.9539,13079.73,23092.2,23205.35,23155.35,23344.75,-1.1391,-1.4087,-2.2086,23426.3,22786.9,24226.7,22786.9,-5.7686,0.1854
24-01-2025,23183.90039,23347.30078,23050.0,23092.19922,264300,-0.4876,Negative,297.3,1.29,-21.45,-0.09,38.4396,-240.0641,-232.0232,-8.0409,-1.4481,263.0,23450.47,24080.2,22820.74,0.0537,0.2155,13.3158,72002400,275210,0.9604,13076.85,23205.35,23155.35,23024.65,23203.2,-0.4876,0.2934,-0.4784,23426.3,22976.85,24226.7,22976.85,-4.6829,0.502
23-01-2025,23128.30078,23270.80078,23090.65039,23205.34961,275600,0.2159,Positive,180.15,0.78,-27.05,-0.12,40.6884,-240.4459,-230.0129,-10.433,-1.3651,260.36,23486.53,24112.65,22860.41,0.0533,0.2755,13.3334,72266700,270835,1.0176,13073.8,23155.35,23024.65,23344.75,23311.8,0.2159,-0.5971,-0.4566,23596.6,22976.85,24226.7,22976.85,-4.2158,0.9945
22-01-2025,23099.15039,23169.55078,22981.30078,23155.34961,276000,0.5676,Positive,188.25,0.82,74.5,0.32,39.2296,-248.9565,-227.4047,-21.5518,-2.2525,266.53,23513.77,24135.99,22891.55,0.0529,0.212,13.3004,71991100,265940,1.0378,13070.61,23024.65,23344.75,23203.2,23213.2,0.5676,-0.2062,-0.2492,23689.5,22976.85,24226.7,22976.85,-4.4222,0.7769
21-01-2025,23421.65039,23426.30078,22976.84961,23024.65039,312900,-1.3712,Negative,449.45,1.96,76.9,0.33,35.3713,-251.1071,-222.0167,-29.0904,-2.882,272.55,23542.39,24148.47,22936.31,0.0515,0.0729,13.0507,71715100,261025,1.1987,13067.44,23344.75,23203.2,23311.8,23176.05,-1.3712,-1.2318,-0.6533,23751.85,22976.85,24226.7,22976.85,-4.9617,0.208
20-01-2025,23290.40039,23391.09961,23170.65039,23344.75,301500,0.61,Positive,220.45,0.95,87.2,0.38,41.3404,-236.892,-214.7441,-22.1479,-1.1488,258.94,23578.83,24142.14,23015.51,0.0478,0.2922,12.5414,72028000,254870,1.183,13063.83,23203.2,23311.8,23213.2,23085.95,0.61,0.5667,1.121,23795.2,23047.25,24226.7,23047.25,-3.6404,1.2908
17-01-2025,23277.09961,23292.09961,23100.34961,23203.19922,272900,-0.4659,Negative,191.75,0.83,-34.7,-0.15,36.973,-247.8947,-209.2072,-38.6875,-3.3391,261.9,23590.97,24143.95,23037.98,0.0469,0.1494,13.3246,71726500,261930,1.0419,13060.3,23311.8,23213.2,23176.05,23431.5,-0.4659,0.1171,-0.9743,24089.95,23047.25,24226.7,23047.25,-4.2247,0.6767
16-01-2025,23377.25,23391.65039,23272.05078,23311.80078,299400,0.4248,Positive,119.6,0.51,164.05,0.71,39.044,-243.9198,-199.5353,-44.3845,-3.625,265.78,23628.39,24172.58,23084.2,0.0461,0.2091,13.6406,71999400,261840,1.1434,13057.13,23213.2,23176.05,23085.95,23526.5,0.4248,0.9783,-0.9126,24196.45,23047.25,24226.7,23047.25,-3.7764,1.1479
15-01-2025,23250.44922,23293.65039,23146.44922,23213.19922,228000,0.1603,Positive,147.2,0.64,74.4,0.32,36.0227,-246.3562,-188.4391,-57.9171,-2.231,272.5,23672.74,24250.07,23095.41,0.0488,0.102,13.5045,71700000,258635,0.8816,13053.61,23176.05,23085.95,23431.5,23688.95,0.1603,-0.9317,-2.0083,24226.7,23047.25,24394.45,23047.25,-4.8423,0.72
14-01-2025,23165.90039,23264.94922,23134.15039,23176.05078,311200,0.3903,Positive,130.8,0.57,79.95,0.35,34.8938,-235.8431,-173.9599,-61.8832,-1.9825,282.14,23728.88,24334.23,23123.53,0.051,0.0434,13.9784,71472000,260480,1.1947,13050.95,23085.95,23431.5,23526.5,23707.9,0.3903,-1.4896,-2.2433,24226.7,23047.25,24624.1,23047.25,-5.8806,0.5589
